ID,full_name,sigma_e,sigma_a,sigma_i,sigma_om,sigma_w,sigma_ma,sigma_ad,sigma_n,sigma_tp,sigma_per,a,e,i,om,w,ad,q,per_y,n_obs_used,ma,condition_code,H,epoch_mjd,data_arc
11674,       (2013 OV4),5.7563e-08,1.6053e-08,1.0259e-05,2.9534e-05,3.5075e-05,1.6541e-05,2.2542e-08,2.0545e-09,6.8583e-05,1.4348e-05,2.661096402674163,0.404226485887497,12.657240836609,324.1915053220469,323.0576539767624,3.736782050135,1.585410755213326,4.34109324170838,117,129.1019811064342,0.0,17.59,60200,8139.0
10222,       (2011 QH117),3.9589e-06,4.4753e-07,2.0718e-05,0.0002165,0.0022087,0.0016414,5.622e-07,9.1653e-08,0.0055514,0.00036409,2.204894381059686,0.2562376377201949,2.769920680815152,356.1251068294767,322.5955052117625,2.769871308684952,1.639917453434421,3.2740845340409,18,255.7572577223635,2.0,19.9,60200,3722.0
15475,       (2016 AQ193),0.75102,1.28,15.77,4.6322,13.312,90.643,1.5487,0.33098,108.3,993.85,2.008508794474205,0.2099802443480817,34.36307228742442,95.46706907405292,292.5173727402355,2.43025596191317,1.586761627035241,2.84654994841248,6,56.48575759201484,9.0,20.288,57391,1.0
11743,       (2013 PB88),1.5729e-07,1.9302e-07,2.7339e-05,1.5851e-05,0.00018561,0.00022798,2.6547e-07,2.6847e-08,0.00090516,0.00016967,2.573954857440913,0.3753413371813267,28.21442291424333,158.5847889012271,272.2527619440838,3.540066515477157,1.60784319940467,4.12961525108569,34,109.3964370855275,1.0,18.32,60200,3515.0
3226,380393 (2002 XL63),5.8605e-08,1.5391e-08,6.8673e-06,6.2687e-05,6.4468e-05,1.3766e-05,2.0748e-08,2.6219e-09,5.3308e-05,1.2991e-05,2.373425283396096,0.3480873332092602,3.39202913501161,164.3353043064585,233.3959474858032,3.199584560864875,1.547266005927316,3.65655027428562,227,265.0692284960573,0.0,17.92,60200,7507.0
9466,       (2010 JN15),0.00012336,0.00049967,0.002235,0.0018773,0.0080385,0.55302,0.00066751,0.00011134,1.6435,0.39971,2.131722265503778,0.3358943213143097,9.560151199540208,244.074080732463,4.829344566355863,2.847755669105772,1.415688861901784,3.1124625479887,16,92.65249969540942,6.0,20.661,60200,37.0
19842,       (2019 LB17),1.1952e-07,3.6577e-08,9.6202e-06,3.7891e-05,7.0358e-05,2.4196e-05,4.9558e-08,6.1233e-09,9.2256e-05,3.0981e-05,2.39004605124827,0.3548955129300009,7.754461572041694,146.0417225728125,137.4683403592204,3.238262670532348,1.541829431964192,3.69502691117428,63,51.88173246492024,0.0,19.2,60200,4068.0
13883,       (2015 AM282),5.0315e-06,1.2388e-07,8.8162e-05,5.4679e-05,0.0019188,0.0013158,1.3914e-07,4.0379e-08,0.0033228,9.1841e-05,1.830888768908786,0.1231823716257529,18.11248874207466,316.6573298601602,224.6307827409785,2.056421989645926,1.605355548171647,2.47742857898922,35,123.4187560614317,1.0,20.2,60200,1871.0
6323,623699 (2017 GT7),5.9133e-08,1.6229e-08,6.0074e-06,2.2357e-05,4.9217e-05,4.2555e-05,1.7913e-08,5.1819e-09,0.00010769,1.2081e-05,1.846040827420418,0.1037284105773558,19.250929501333,250.1087995480489,210.7589352886278,2.037527708309645,1.654553946531191,2.50824615331697,141,271.7824848181706,0.0,18.13,60200,3675.0
3258,382586 (2002 CC214),6.737e-07,2.2991e-08,2.7669e-05,0.00010523,0.00013935,5.5235e-05,3.1584e-08,3.3968e-09,0.00022404,1.9966e-05,2.512535445812954,0.3737637693371521,5.12779609494997,138.2754293741746,307.8510723176751,3.451630164633205,1.573440726992702,3.98268995073605,142,178.6818034371208,0.0,18.37,60200,7330.0
15924,       (2016 HH2),5.1236e-08,1.0529e-08,4.822e-06,6.5133e-05,6.7993e-05,1.9172e-05,1.2341e-08,3.1124e-09,5.1506e-05,7.9592e-06,1.903827978880366,0.1721145914459934,5.565221845426295,57.08643877437167,239.3810765750469,2.231504553648811,1.57615140411192,2.62693761816052,103,223.7342132681639,0.0,19.27,60200,5902.0
17949,       (2017 SJ18),0.00095526,0.0046469,0.01811,0.017855,0.034091,0.022608,0.0065351,0.00084649,0.041791,3.8701,2.310665553417465,0.4063338335897941,11.39287676306515,202.3818771604177,182.8803318873901,3.249567145881467,1.371763960953463,3.51247981669603,21,351.0116982078707,8.0,21.155,58029,19.0
19196,       (2018 TG8),2.3148e-07,2.3583e-08,1.2293e-05,0.00014271,0.00019213,7.4979e-05,2.9929e-08,4.8138e-09,0.00024968,1.9198e-05,2.207809443401247,0.2691198183861842,3.438666554498448,337.3767411159321,38.06765756015164,2.801974719840693,1.613644166961801,3.28057961684509,59,177.6815216430414,0.0,19.42,60200,4751.0
